name,model_type,num_layers,total_params,test_loss,test_mae,train_loss,val_loss,val_mae,training_time_s,inference_time_ms,model_size_mb
RNN,rnn,3,83459,0.0008591129444539547,0.023281866684556007,0.0025691883638501167,0.0008640416199341416,0.023106494918465614,250.4300365447998,1.0934817790985107,1.00067138671875
LSTM,lstm,3,332675,5.712465645046905e-05,0.004776143468916416,0.0005998471169732511,5.691966725862585e-05,0.004758691415190697,1316.1652135849,0.414273738861084,3.8525772094726562
GRU,gru,3,250755,5.462281478685327e-05,0.004561683628708124,0.000592881056945771,5.2162034990033135e-05,0.004497417248785496,1245.5264070034027,0.5472633838653564,2.9161529541015625
