# participant_id: p01
# scenario_id: SCF2
# mode: Free
# initial_target: 2
# final_target: 2
# sample_rate_hz: 16.0
# trial_duration_s: 8.0
# recorded_at: 2026-05-27T11:02:41.925950
timestamp_s,x,y,z
0.0529,0.0000,0.0000,0.0000
0.1158,0.0000,0.0000,0.0000
0.1782,0.0000,0.0000,0.0000
0.2407,0.0000,0.0000,0.0000
0.3030,0.0000,0.0000,0.0000
0.3653,0.0000,0.0000,0.0000
0.4276,0.0000,0.0000,0.0000
0.4897,0.0000,0.0000,0.0000
0.5522,0.0000,0.0000,0.0000
0.6150,0.0000,0.0000,0.0000
0.6775,0.0000,0.0000,0.0000
0.7402,0.0000,0.0000,0.0000
0.8036,0.0000,0.0000,0.0000
0.8652,0.0000,0.0000,0.0000
0.9289,0.0000,0.0000,0.0000
0.9904,0.0000,0.0000,0.0000
1.0527,0.0000,0.0000,0.0000
1.1157,0.0000,0.0000,0.0000
1.1788,0.0000,0.0000,0.0000
1.2409,0.0000,0.0000,0.0000
1.3039,0.0000,0.0000,0.0000
1.3664,0.0000,0.0000,0.0000
1.4279,0.0000,0.0000,0.0000
1.4906,0.0000,0.0000,0.0000
1.5529,0.0000,0.0000,0.0000
1.6151,0.0000,0.0000,0.0000
1.6778,0.0000,0.0000,0.0000
1.7398,0.0000,0.0000,0.0000
1.8025,0.0000,0.0000,0.0000
1.8648,0.0000,0.0000,0.0000
1.9275,0.0000,0.0000,0.0000
1.9897,0.0000,0.0000,0.0000
2.0523,0.0000,0.0000,0.0000
2.1150,0.0000,0.0000,0.0000
2.1776,0.0000,0.0000,0.0000
2.2402,0.0000,0.0000,0.0000
2.3033,0.0000,0.0000,0.0000
2.3659,0.0000,0.0000,0.0000
2.4284,0.0000,0.0000,0.0000
2.4910,0.0000,0.0000,0.0000
2.5535,0.0000,0.0000,0.0000
2.6155,0.0000,0.0000,0.0000
2.6782,0.0000,0.0000,0.0000
2.7405,0.0000,0.0000,0.0000
2.8027,0.0000,0.0000,0.0000
2.8649,0.0000,0.0000,0.0000
2.9275,0.0000,0.0000,0.0000
2.9898,0.0000,0.0000,0.0000
3.0522,0.0000,0.0000,0.0000
3.1149,0.0000,0.0000,0.0000
3.1774,0.0000,0.0000,0.0000
3.2401,0.0000,0.0000,0.0000
3.3034,0.0000,0.0000,0.0000
3.3654,0.0000,0.0000,0.0000
3.4280,0.0000,0.0000,0.0000
3.4909,0.0000,0.0000,0.0000
3.5531,0.0000,0.0000,0.0000
3.6156,0.0000,0.0000,0.0000
3.6785,0.0000,0.0000,0.0000
3.7407,0.0000,0.0000,0.0000
3.8035,0.0000,0.0000,0.0000
3.8656,0.0000,0.0000,0.0000
3.9292,0.0000,0.0000,0.0000
3.9911,0.0000,0.0000,0.0000
4.0530,0.0000,0.0000,0.0000
4.1160,0.0000,0.0000,0.0000
4.1782,0.0000,0.0000,0.0000
4.2404,0.0000,0.0000,0.0000
4.3023,0.0000,0.0000,0.0000
4.3649,0.0000,0.0000,0.0000
4.4273,0.0000,0.0000,0.0000
4.4897,0.0000,0.0000,0.0000
4.5523,0.0000,0.0000,0.0000
4.6151,0.0000,0.0000,0.0000
4.6777,0.0000,0.0000,0.0000
4.7406,0.0000,0.0000,0.0000
4.8034,0.0000,0.0000,0.0000
4.8654,0.0000,0.0000,0.0000
4.9282,0.0000,0.0000,0.0000
4.9909,0.0000,0.0000,0.0000
5.0536,0.0000,0.0000,0.0000
5.1157,0.0000,0.0000,0.0000
5.1783,0.0000,0.0000,0.0000
5.2405,0.0000,0.0000,0.0000
5.3033,0.0000,0.0000,0.0000
5.3658,0.0000,0.0000,0.0000
5.4277,0.0000,0.0000,0.0000
5.4903,0.0000,0.0000,0.0000
5.5527,0.0000,0.0000,0.0000
5.6154,0.0000,0.0000,0.0000
5.6774,0.0000,0.0000,0.0000
5.7397,0.0000,0.0000,0.0000
5.8023,0.0000,0.0000,0.0000
5.8648,0.0000,0.0000,0.0000
5.9272,0.0000,0.0000,0.0000
5.9902,0.0000,0.0000,0.0000
6.0526,0.0000,0.0000,0.0000
6.1149,0.0000,0.0000,0.0000
6.1771,0.0000,0.0000,0.0000
6.2398,0.0000,0.0000,0.0000
6.3024,0.0000,0.0000,0.0000
6.3650,0.0000,0.0000,0.0000
6.4275,0.0000,0.0000,0.0000
6.4908,0.0000,0.0000,0.0000
6.5522,0.0000,0.0000,0.0000
6.6157,0.0000,0.0000,0.0000
6.6774,0.0000,0.0000,0.0000
6.7405,0.0000,0.0000,0.0000
6.8028,0.0000,0.0000,0.0000
6.8662,0.0000,0.0000,0.0000
6.9285,0.0000,0.0000,0.0000
6.9909,0.0000,0.0000,0.0000
7.0532,0.0000,0.0000,0.0000
7.1161,0.0000,0.0000,0.0000
7.1783,0.0000,0.0000,0.0000
7.2406,0.0000,0.0000,0.0000
7.3030,0.0000,0.0000,0.0000
7.3657,0.0000,0.0000,0.0000
7.4279,0.0000,0.0000,0.0000
7.4899,0.0000,0.0000,0.0000
7.5524,0.0000,0.0000,0.0000
7.6147,0.0000,0.0000,0.0000
7.6774,0.0000,0.0000,0.0000
7.7401,0.0000,0.0000,0.0000
7.8024,0.0000,0.0000,0.0000
7.8651,0.0000,0.0000,0.0000
7.9275,0.0000,0.0000,0.0000
7.9900,0.0000,0.0000,0.0000
